,0,1,2,3,4,5,6,7,8,9,10,11
ポイント,0.41577505258018826,0.12063268991515798,0.02927327190669076,-0.1006028684689591,-0.027808230024636085,0.004194981388604635,0.10791834879213981,-0.0037199263746838275,0.04419428057890823,-0.05266452629946217,0.8846864215454109,0.041870557271210085
平着,-0.4151095111036253,-0.13118321146551937,0.05049780836037616,0.06264711645042208,0.05372258173637868,-0.08136007296205663,-0.10819435944151451,0.07503147999567285,-0.08218229985119223,-0.2373615893731487,0.18496926583308224,0.8245307547233316
トップ率,0.31001124983605444,0.22233521472682538,0.23848753988356347,-0.4119763522467185,0.17430518294504155,-0.299803623376355,-0.06027479333830705,0.2409362229825678,0.5660949871006372,-0.06390624367769246,-0.25861617776391277,0.2334128580999368
連対率,0.3673592483712773,0.2100479270725148,0.007254139528941108,0.10405708220988509,-0.21880634712870334,0.18510950698088394,0.3796353184110374,0.2314803360770317,-0.32539396783860863,0.449285978442145,-0.21954411072282048,0.4174445384633134
ラス回避率,0.3507883427422349,-0.09119765930316213,-0.33955748001787966,0.053005594608386886,-0.0053414654933976935,0.2144431365343027,-0.22540177644699794,-0.700345355332631,0.23368972187642625,0.03519489397338861,-0.1354938843339094,0.2983446383828444
ベストスコア,0.13127105306058953,-0.011773843815568515,0.7563788938925899,0.27551981088241606,2.3974986853829697e-05,-0.1734885684823898,-0.38953655073825105,-0.256388493414634,-0.17506679437741782,0.23689659715151698,0.016367140463147134,-0.0008709233420969995
平均打点,-0.06254388023188129,0.5195553209593705,0.20613148764135358,-0.2827712698936981,-0.19798553817049525,0.5582221144100319,-0.21874373137328734,-0.04968412477911307,-0.18325376772322483,-0.40357788948985146,-0.07706260819970819,-0.013323429370417656
副露率,0.20962861483326486,-0.3896160229182928,0.0689955216327023,0.04723423657911029,0.5622237665752755,0.5543334315175724,-0.2104579914489107,0.3585071649622978,-0.007089886129588856,0.0317134106803173,0.002090269104661537,0.0015155185413110851
リーチ率,-0.08241361867610639,0.4069640125292115,-0.04566612723461342,0.7450496990165911,0.01099041081499714,0.14132004292226208,-0.014767904315279894,0.1701736886470407,0.46500715326279374,-0.05102545910494425,0.04603524101424247,-0.01341738934360965
アガリ率,0.363995937833531,-0.1237728293857752,0.12968706400096972,0.27520010776153525,0.13617071814908746,-0.16417559609233126,0.3757726780256325,-0.0897374583351322,-0.22036544421067328,-0.6906693312065195,-0.19801169749293343,-0.009258284797894444
放銃率,-0.3060929597942704,0.16147724122580848,0.2722794605107247,-0.11390045432719427,0.4761703477318202,0.1872468550457982,0.5703270241165147,-0.3976442155063433,0.12404331281801195,0.17381169877066202,0.046194206141612716,0.014078576143509165
放銃平均打点,-0.051351882432456,-0.4873164333818204,0.3346117119228916,-0.02613656909630637,-0.5633455863711307,0.3037222553105108,0.2598257156819479,0.019381328240186135,0.407280447495458,-0.06217929215338506,0.0017581380568975906,-0.000587472229775988
